File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 3846ms, 81.40% of 4725ms total
Dropped 609 nodes (cum <= 23.62ms)
      flat  flat%   sum%        cum   cum%
       4ms 0.085% 77.35%       27ms  0.57%  PottsMesh::GetVonNeumannNeighbouringNodeIndices
         0     0% 77.35%       27ms  0.57%  std::basic_filebuf::sync
      27ms  0.57% 77.93%       27ms  0.57%  std::map::operator[]
         0     0% 77.93%       27ms  0.57%  std::ostream::flush
       1ms 0.021% 77.95%       27ms  0.57%  vtkDataSet::GetCellTypes
         0     0% 77.95%       26ms  0.55%  AbstractCellPopulation::AcceptCellWritersAcrossPopulation
      21ms  0.44% 78.39%       26ms  0.55%  _int_free_create_chunk (inline)
       6ms  0.13% 78.52%       26ms  0.55%  boost::serialization::singleton::get_instance
         0     0% 78.52%       26ms  0.55%  std::basic_filebuf::open
      25ms  0.53% 79.05%       26ms  0.55%  vtkDataArray::Modified
       1ms 0.021% 79.07%       25ms  0.53%  DistributedBoxCollection::IsOwned
      11ms  0.23% 79.30%       25ms  0.53%  Node::GetPoint
       1ms 0.021% 79.32%       25ms  0.53%  PottsBasedCellPopulation::AcceptCellWriter
       1ms 0.021% 79.34%       25ms  0.53%  VtkMeshWriter::MakeVtkMesh
      25ms  0.53% 79.87%       25ms  0.53%  __mpn_divrem
       5ms  0.11% 79.98%       25ms  0.53%  vtkAOSDataArrayTemplate::AllocateTuples
         0     0% 79.98%       25ms  0.53%  vtkAOSDataArrayTemplate::InsertTuple
      21ms  0.44% 80.42%       24ms  0.51%  DistributedBoxCollection::CalculateContainingBox
       8ms  0.17% 80.59%       24ms  0.51%  Node::AddElement
       1ms 0.021% 80.61%       24ms  0.51%  VertexElement::VertexElement
      13ms  0.28% 80.89%       24ms  0.51%  boost::numeric::ublas::indexing_vector_assign
      24ms  0.51% 81.40%       24ms  0.51%  std::_Rb_tree_increment
